"filename", "language", "Markdown", "MS SQL", "JSON", "TypeScript", "JavaScript", "CSS", "TypeScript JSX", "Groovy", "XML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 342, 0, 0, 16, 31, 389
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\cron\daily-summary\route.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 5, 13, 65
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\cron\recurring-invoices\route.ts", "TypeScript", 0, 0, 0, 108, 0, 0, 0, 0, 0, 9, 22, 139
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\diagnostics\route.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 5, 10, 77
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\download\route.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 5, 13, 58
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\heartbeat\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\hub\devices\route.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\hub\info\route.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\internal\backup\route.ts", "TypeScript", 0, 0, 0, 139, 0, 0, 0, 0, 0, 4, 26, 169
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\messaging\events\route.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 8, 38
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\messaging\route.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 2, 9, 64
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\portal\generate\route.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 11, 55
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\portal\verify\route.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 8, 15, 89
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\sentinel\recording-complete\route.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\sentinel\recording-started\route.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\settings\route.ts", "TypeScript", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 11, 120
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\staff\invite\route.ts", "TypeScript", 0, 0, 0, 80, 0, 0, 0, 0, 0, 6, 17, 103
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\startup\route.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 5, 26
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\stock\[skuId]\route.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 8, 43
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\sync\status\route.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 4, 5, 35
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\webhooks\easypaisa\route.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 7, 15, 74
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\webhooks\jazzcash\route.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 6, 16, 79
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\api\webhooks\stripe\route.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 7, 14, 84
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\artisans\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\audit\[sessionId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 296, 0, 0, 13, 33, 342
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\audit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 434, 0, 0, 7, 38, 479
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\batches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\calculators\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1373, 0, 0, 89, 129, 1591
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\cashflow\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 467, 0, 0, 6, 35, 508
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\cctv\cameras\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 278, 0, 0, 3, 23, 304
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\cctv\cameras\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 322, 0, 0, 6, 22, 350
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\cctv\detections\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 147, 0, 0, 3, 9, 159
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\cctv\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1160, 0, 0, 37, 58, 1255
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\compliance\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 7, 29
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\compliance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 194, 0, 0, 1, 16, 211
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\converters\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 450, 0, 0, 2, 58, 510
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 574, 0, 0, 17, 66, 657
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\dealers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\dispatch\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 369, 0, 0, 12, 35, 416
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\export\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 192, 0, 0, 6, 21, 219
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app-temp\file-morph\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 665, 0, 0, 15, 66, 746
