"filename", "language", "JSON", "YAML", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "XML", "pip requirements", "Python", "HTML", "Batch", "MS SQL", "TypeScript JSX", "Shell Script", "CSS", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\inventory\import\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383, 0, 0, 0, 0, 0, 8, 47, 438
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\inventory\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 998, 0, 0, 0, 0, 0, 28, 101, 1127
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 531, 0, 0, 0, 0, 0, 9, 50, 590
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 748, 0, 0, 0, 0, 0, 37, 78, 863
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 364, 0, 0, 0, 0, 0, 1, 27, 392
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\recurring\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 4, 14, 144
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\recurring\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 9, 103
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\karigars\[karigarId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 871, 0, 0, 0, 0, 0, 26, 104, 1001
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\karigars\network\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 6, 23, 183
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\karigars\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 820, 0, 0, 0, 0, 0, 17, 66, 903
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\karigars\shared\[identityId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 9, 28, 206
