Date : 2026-06-07 15:35:22
Directory : c:\Users\omnora\OneDrive\Desktop\new_system
Total : 333 files,  946 codes, 24 comments, 115 blanks, all 1085 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         54 |        740 |         19 |        102 |        861 |
| JavaScript     |          2 |         88 |          0 |          3 |         91 |
| TypeScript JSX |        273 |         65 |          5 |          7 |         77 |
| JSON           |          2 |         43 |          0 |          0 |         43 |
| YAML           |          1 |          9 |          0 |          2 |         11 |
| MS SQL         |          1 |          1 |          0 |          1 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        333 |        946 |         24 |        115 |      1,085 |
| omnora-prime-v13                                                                                                       |        333 |        946 |         24 |        115 |      1,085 |
| omnora-prime-v13 (Files)                                                                                               |          4 |         59 |          0 |          2 |         61 |
| omnora-prime-v13\app-temp                                                                                              |        160 |     43,038 |      1,199 |      4,358 |     48,595 |
| omnora-prime-v13\app-temp\(auth)                                                                                       |          2 |        273 |          1 |         32 |        306 |
| omnora-prime-v13\app-temp\(auth)\login                                                                                 |          1 |        138 |          0 |         16 |        154 |
| omnora-prime-v13\app-temp\(auth)\signup                                                                                |          1 |        135 |          1 |         16 |        152 |
| omnora-prime-v13\app-temp\(hub)                                                                                        |          4 |      1,168 |         38 |         95 |      1,301 |
| omnora-prime-v13\app-temp\(hub)\clients                                                                                |          2 |        323 |          8 |         29 |        360 |
| omnora-prime-v13\app-temp\(hub)\clients\portals                                                                        |          2 |        323 |          8 |         29 |        360 |
| omnora-prime-v13\app-temp\(hub)\inventory                                                                              |          1 |        399 |         18 |         36 |        453 |
| omnora-prime-v13\app-temp\(hub)\inventory\transfers                                                                    |          1 |        399 |         18 |         36 |        453 |
| omnora-prime-v13\app-temp\(hub)\inventory\transfers\inter-branch                                                       |          1 |        399 |         18 |         36 |        453 |
| omnora-prime-v13\app-temp\(hub)\settings                                                                               |          1 |        446 |         12 |         30 |        488 |
| omnora-prime-v13\app-temp\(hub)\settings\branches                                                                      |          1 |        446 |         12 |         30 |        488 |
| omnora-prime-v13\app-temp\(kitchen)                                                                                    |          2 |        173 |          2 |         21 |        196 |
| omnora-prime-v13\app-temp\(kitchen) (Files)                                                                            |          1 |         21 |          1 |          7 |         29 |
| omnora-prime-v13\app-temp\(kitchen)\live                                                                               |          1 |        152 |          1 |         14 |        167 |
| omnora-prime-v13\app-temp\(logistics)                                                                                  |          2 |        271 |          2 |         28 |        301 |
| omnora-prime-v13\app-temp\(logistics) (Files)                                                                          |          1 |         21 |          1 |          7 |         29 |
| omnora-prime-v13\app-temp\(logistics)\shipments                                                                        |          1 |        250 |          1 |         21 |        272 |
| omnora-prime-v13\app-temp\(medical)                                                                                    |          3 |        414 |          4 |         45 |        463 |
| omnora-prime-v13\app-temp\(medical) (Files)                                                                            |          1 |         21 |          1 |          7 |         29 |
| omnora-prime-v13\app-temp\(medical)\cold-chain                                                                         |          1 |        159 |          2 |         18 |        179 |
| omnora-prime-v13\app-temp\(medical)\expiry                                                                             |          1 |        234 |          1 |         20 |        255 |
| omnora-prime-v13\app-temp\(onboarding)                                                                                 |          3 |      1,139 |         31 |         98 |      1,268 |
| omnora-prime-v13\app-temp\(onboarding)\license                                                                         |          2 |        378 |         27 |         38 |        443 |
| omnora-prime-v13\app-temp\(onboarding)\setup                                                                           |          1 |        761 |          4 |         60 |        825 |
| omnora-prime-v13\app-temp\admin                                                                                        |          2 |        395 |         15 |         44 |        454 |
| omnora-prime-v13\app-temp\admin\payments                                                                               |          1 |        209 |          8 |         22 |        239 |
| omnora-prime-v13\app-temp\admin\signals                                                                                |          1 |        186 |          7 |         22 |        215 |
| omnora-prime-v13\app-temp\analytics                                                                                    |          1 |        342 |         16 |         31 |        389 |
| omnora-prime-v13\app-temp\api                                                                                          |         22 |      1,133 |         78 |        245 |      1,456 |
| omnora-prime-v13\app-temp\api\cron                                                                                     |          2 |        155 |         14 |         35 |        204 |
