"filename", "language", "JavaScript", "PowerShell", "MS SQL", "TypeScript", "TypeScript JSX", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\[adminPath]\tenants\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\api\admin\logout\route.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\api\hub\info\route.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\api\hub\tunnel-status\route.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 8, 8, 69
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\artisans\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\batches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -11, 0, 0, 4, -8, -15
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 95, 0, 0, 7, 9, 111
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\best-erp-software-pakistan.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 29, 87
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\factory-software-uae.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 14, 52
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\index.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\karigar-management.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 16, 59
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\offline-erp-load-shedding.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 16, 55
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\offline-first-erp-emerging-markets.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 15, 68
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\blog\posts\vs-tallyprime.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 15, 60
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\cctv\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -442, 0, 0, -20, -31, -493
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\compare\vs-marg-erp\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 110, 0, 0, 4, 10, 124
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\compare\vs-tallyprime\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 167, 0, 0, 5, 13, 185
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\compare\vs-vyapar\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 111, 0, 0, 4, 10, 125
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\compliance\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, -17, 0, 0, 0, -5, -22
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 90, 0, 0, 2, 8, 100
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\dealers\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\dispatch\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 29
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\features\multi-branch\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 214, 0, 0, 8, 17, 239
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\fulfillment\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\industries\garment\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 270, 0, 0, 6, 15, 291
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\industries\medical\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 269, 0, 0, 6, 15, 290
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\industries\rice-mill\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 325, 0, 0, 6, 16, 347
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\industries\textile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 271, 0, 0, 6, 15, 292
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\inventory\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 237, 0, 0, 6, 20, 263
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, -1, 52
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 2, 4, 27
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\karigars\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 274, 0, 0, 16, 15, 305
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\ledger\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\og\route.tsx", "TypeScript JSX", 0, 0, 0, 0, 107, 0, 0, 6, 8, 121
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\pairing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 106, 0, 0, 2, 9, 117
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\parties\[partyId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 6, 74
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\parties\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\pos\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 610, 0, 0, 32, 23, 665
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\pricing\PricingClient.tsx", "TypeScript JSX", 0, 0, 0, 0, -24, 0, 0, -7, -1, -32
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\production\grid\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 509, 0, 0, 14, 46, 569
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\purchase\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -22, 0, 0, 0, -5, -27
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\robots.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 1, 3, 43
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\sales\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 562, 0, 0, 9, 52, 623
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\branches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -424, 0, 0, -7, -30, -461
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\devices\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 77, 0, 0, 5, 3, 85
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\localization\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -1, 0, 0, 2, -1, 0
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\opening-balances\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 262, 0, 0, 7, 21, 290
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\updates\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 217, 0, 0, 4, 9, 230
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\settings\whatsapp\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, -4, 14
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\sitemap.ts", "TypeScript", 0, 0, 0, 116, 0, 0, 0, 0, 4, 120
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\technology\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 236, 0, 0, 14, 24, 274
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\test-supabase\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\weight-entry\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 648, 0, 0, 40, 77, 765
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\who-is-it-for\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 257, 0, 0, 8, 16, 281
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\workflows\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
