"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\components\ui\Skeleton.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 3, 47
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\hooks\useAppLock.ts", "TypeScript", 52, 0, 0, 0, 1, 14, 67
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\hooks\useBusinessProfile.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\hooks\useFormDraft.ts", "TypeScript", 37, 0, 0, 0, 1, 9, 47
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\hooks\useLicenseValidation.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\hooks\useMobileSyncToast.ts", "TypeScript", 111, 0, 0, 0, 2, 20, 133
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\hooks\useOptimisticMutation.ts", "TypeScript", -49, 0, 0, 0, -10, -17, -76
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\hooks\useRouteTracking.ts", "TypeScript", 22, 0, 0, 0, 1, 5, 28
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\queryClient.ts", "TypeScript", 1, 0, 0, 0, 1, 0, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\security\authHelpers.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 4
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\supabase\client.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 7
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\sync\deltaSyncEngine.ts", "TypeScript", 128, 0, 0, 0, 9, 21, 158
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\lib\sync\realtimeCDC.ts", "TypeScript", 225, 0, 0, 0, 13, 24, 262
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\providers\AuthProvider.tsx", "TypeScript JSX", 0, 196, 0, 0, 4, 29, 229
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\providers\SyncProvider.tsx", "TypeScript JSX", 0, 141, 0, 0, 5, 19, 165
"Total", "-", 1087, 1964, 82, 285, 83, 401, 3902
