"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "MS SQL", "JSON", "XML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\docs\[...slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -152, 0, 0, 0, -2, -9, -163
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\docs\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, -154, 0, 0, 0, -3, -13, -170
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\docs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 222, 0, 0, 0, 4, 14, 240
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\download\DownloadClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 111, 0, 0, 0, 1, 11, 123
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\download\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -102, 0, 0, 0, -2, -9, -113
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\generators\export-docs\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 189, 0, 0, 0, 15, 26, 230
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\invoices\recurring\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\karigars\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 74
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\lens\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 1, 3, 22
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -767, 0, 0, 0, -31, -46, -844
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\parties\[partyId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\payroll\[periodId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 2, 6, 27
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\pricing\PricingClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 253, 0, 0, 0, 5, 22, 280
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\pricing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -233, 0, 0, 0, -5, -18, -256
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\src\app\production\batches\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
