"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "MS SQL", "JSON with Comments", "JavaScript", "CSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\layout\DeviceGuard.tsx", "TypeScript JSX", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 2, 14, 99
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\layout\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\components\messaging\TacticalMessenger.tsx", "TypeScript JSX", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 7, 21, 222
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\hooks\useDevices.ts", "TypeScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 127
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\hooks\useInventory.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 100
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\hooks\useSettings.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 54
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 11, 64
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\lib\protocols.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 27
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\lib\supabase.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\main.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\services\CalculationEngine.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\services\IndustrialCalculationService.test.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 134
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\services\IndustrialCalculationService.ts", "TypeScript", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 179
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\src\types\database.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 82
"c:\Users\omnora\OneDrive\Desktop\new system\textile-admin\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
